user_name,password,coupon_code,coupon_valid
user001,4sv&f)Zi,UzrbFhLI,TRUE
user002,WwQFFcFu,AeWJ&3Ro,TRUE
user003,epZTi@ak,3Gik&Tvv,TRUE
user004,rX9xHhl),tvgaZk0C,TRUE
user005,d@ES*008,t!5ZO6pU,TRUE
user006,kUboUwyp,XJKuHm$(,TRUE
user007,1I#@VMTt,I(&0kWcf,TRUE
user008,^56@3RYK,mt&Xx%^R,TRUE
user009,Pyq8BQ^c,$KpLr8$j,TRUE
user010,Bz2l6xfP,yC1cY#@4,TRUE
user011,y$xfe)Ux,cLVfZTJH,TRUE
user012,*1KyG$!$,$7DXc@cV,TRUE
user013,T*V3^Bwh,c&xGrj8#,TRUE
user014,GQZXjxG9,XZ(91SY5,TRUE
user015,fWE@1ttq,VOrZA*w6,TRUE
user016,L(3L5t7w,UNz&LaeY,TRUE
user017,*Oj@2BBD,EWt8#QgX,TRUE
user018,PPdxlNf*,)IiU3ezq,TRUE
user019,yUcb@u4O,5BxH(KV),TRUE
user020,ND5cHZoE,*eRm1rj),TRUE
user021,Bu2CYywd,3R%AZt&J,TRUE
user022,#Bv@OCpB,ro%X6luz,TRUE
user023,N7S#I8xJ,!wlSRZe9,TRUE
user024,rbev^Q5e,)3MbNnPS,TRUE
user025,2)3)pr9x,t1xiin9E,TRUE
user026,pnnylqzU,ATh1$8#0,TRUE
user027,OWj*@kKs,p688WbOm,TRUE
user028,ywramUFE,AuoVWgs3,TRUE
user029,$l0pveWf,LR&(c@Of,TRUE
user030,I9iHSzip,re4P^O@b,TRUE
user031,4abEW^x$,bv)C%8NV,TRUE
user032,S!$RexzS,Fy)uQkDU,TRUE
user033,WZvUC9gr,!SWpY1c$,TRUE
user034,1S9ZU8t4,kvc@1@S5,TRUE
user035,L$U3)8Et,@@9)2ny*,TRUE
user036,HH8rTnN@,Yrfvv)J0,TRUE
user037,HGXwmhou,gkBm#Uc7,TRUE
user038,7qTr!0N&,!yvSd&TJ,TRUE
user039,l)w0%vwa,XiQrLENd,TRUE
user040,qkDb%a&y,&$6J$Loz,TRUE
user041,1Bx(Pxx@,kFxhKWpw,TRUE
user042,V0A1Z0QT,P&BkWSLy,TRUE
user043,nvK0TMOE,H1R$SVQ4,TRUE
user044,T^U^j@tc,w)I%bYYh,TRUE
user045,!DxH8HCb,$)Iepn$%,TRUE
user046,M9F5R1rL,Xd2)CyKu,TRUE
user047,ZuH@qYSL,0H(9P@Fz,TRUE
user048,sodo%vtk,XdOUpNuZ,TRUE
user049,tOb9GZFv,GU6ZRx0F,TRUE
user050,Un0sILTn,BiQxvFLG,TRUE
user051,aHSH5*PI,^0vtarGv,TRUE
user052,w1F0!fbG,U&7PjJb%,TRUE
user053,%!45S#X$,q0dCayXt,TRUE
user054,m!GYIQWw,NN(jQZWo,TRUE
user055,m7zbchcX,($9OXDt9,TRUE
user056,p9@xxy)g,P1W0zbMQ,TRUE
user057,B60tknta,bL6S37H9,TRUE
user058,qIWXqc45,A1nP64CZ,TRUE
user059,Diat9R4N,S)Kd*X3S,TRUE
user060,DhlWPf*e,Y3@xq%Q!,TRUE
user061,pcdK#us0,w&4RrRT5,TRUE
user062,$CYwU8)Z,hFQ403Rc,TRUE
user063,7mBBY5w0,1rG^eP5^,TRUE
user064,c^eLd1oq,VgMEUs#O,TRUE
user065,3o&^6edO,SEGUEQN#,TRUE
user066,a&5BMhrZ,Tc0k!2vu,TRUE
user067,PguZ)J^r,Km9H9iWq,TRUE
user068,xg3AMQr6,jCgrhF0%,TRUE
user069,tCusNNmI,K5DrBrcw,TRUE
user070,f@FsSGdq,C3!UF9ut,TRUE
user071,i2TV#aOS,OAdXP^fh,TRUE
user072,Sqb5Wi*N,11LUM62l,TRUE
user073,Lq#sffQl,Ot*7cTm7,TRUE
user074,m5PUmWgD,Ts7Hbc6p,TRUE
user075,eJqzcX$$,kuBiTq4x,TRUE
user076,p9EU7*vY,es7^W1pz,TRUE
user077,#80tSvrZ,nvm%$t01,TRUE
user078,2rJTq&C6,U14k8Oo7,TRUE
user079,mf6yxfnV,cllCdGc9,TRUE
user080,Pl(e6Yo1,xjuPKyrw,TRUE
user081,Lui6!IY6,KXFIZvHV,TRUE
user082,11e)TsfK,*1Tg8wZ2,TRUE
user083,i1eYmTpv,P4IhjybG,TRUE
user084,Wz@QExMs,nM1QXI^z,TRUE
user085,6kBLVpd$,!(*sLNj^,TRUE
user086,4mE6oHv0,VYAR60ih,TRUE
user087,qBVj3fQJ,B$!L(5*a,TRUE
user088,ze#cfoiw,Y*20A5a0,TRUE
user089,(3)*LkuK,2r&1bOa(,TRUE
user090,iY1o#ZH2,(fQIMQ5*,TRUE
user091,IDk*Ep&C,3k*2zzLj,TRUE
user092,Q50mz&Uj,U61vC540,TRUE
user093,HT#e40ix,wGkt3^^O,TRUE
user094,FEhisK32,!n8WwF1R,TRUE
user095,ej*kR1ux,hcDqWhM8,TRUE
user096,1@7*L72K,tHT7eTzZ,TRUE
user097,enL2Zpbr,2^Wh#pXU,TRUE
user098,)smCdvke,KUli0Ob3,TRUE
user099,ivL(Zcw@,laM1Sm&P,TRUE
user100,$KR5VxB$,DM%5J&n1,TRUE
